episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
186, -5309.763353288174, 2, 19.592829363999044, 570, 108313,                                             108313, 17.245227813720703, 324.76141357421875
187, -3133.423803448677, 2, 11.744153207000636, 334, 108647,                                             108647, 16.952159881591797, 324.1259765625
188, 595.3962506651878, 1, 17.239984833000563, 500, 109147,                                             109147, 17.059446334838867, 325.9664306640625
189, -1354.7952737808228, 1, 25.483449486999234, 742, 109889,                                             109889, 17.097461700439453, 324.7075500488281
190, -4312.098006308079, 3, 27.426987066999573, 799, 110688,                                             110688, 16.445579528808594, 322.6059265136719
191, 2244.835249245167, 1, 5.744081676999485, 167, 110855,                                             110855, 16.850727081298828, 316.5851745605469
192, -1290.0765435695648, 1, 25.693195343999832, 744, 111599,                                             111599, 17.063831329345703, 323.46539306640625
193, -178.84273305535316, 1, 26.246191653001006, 762, 112361,                                             112361, 17.02009391784668, 323.32098388671875
194, -3612.4041028022766, 2, 12.56954285700158, 361, 112722,                                             112722, 16.699012756347656, 322.966552734375
195, -5026.240306138992, 3, 14.239327248998961, 408, 113130,                                             113130, 17.051162719726562, 321.82965087890625
196, -3804.8393869400024, 2, 13.552373231999809, 391, 113521,                                             113521, 16.7943058013916, 324.7267761230469
197, 1383.11484131217, 1, 15.610287920999326, 459, 113980,                                             113980, 16.972047805786133, 324.4398498535156
198, 1572.498929142952, 1, 9.746181139000328, 281, 114261,                                             114261, 16.432025909423828, 324.7554626464844
199, -3375.3883155584335, 2, 6.783754559999579, 199, 114460,                                             114460, 16.78397560119629, 318.72967529296875
200, -5188.512248575687, 2, 13.576700514999175, 393, 114853,                                             114853, 17.634824752807617, 321.67034912109375
201, 26.115700632333755, 1, 18.30462846699993, 525, 115378,                                             115378, 17.412391662597656, 324.000244140625
202, 235.16266083717346, 1, 18.063246703000914, 525, 115903,                                             115903, 17.122209548950195, 320.604736328125
203, 351.3275894522667, 1, 20.1856099609995, 586, 116489,                                             116489, 16.99130630493164, 322.05712890625
204, -1304.7752363681793, 1, 36.75150391999887, 1073, 117562,                                             117562, 17.159509658813477, 324.2492370605469
205, -5723.202135443687, 3, 24.834740581000005, 717, 118279,                                             118279, 17.59303092956543, 324.94989013671875
206, 2386.817329674959, 1, 5.127076794999084, 142, 118421,                                             118421, 17.052873611450195, 323.7831726074219
207, 2116.1925184726715, 1, 10.601116441999693, 304, 118725,                                             118725, 18.112356185913086, 323.05487060546875
208, -3898.1497566103935, 2, 16.62232546099949, 484, 119209,                                             119209, 17.863500595092773, 321.7969665527344
209, 1933.4930656552315, 1, 13.219643386000826, 378, 119587,                                             119587, 17.221845626831055, 324.4119873046875
210, -3534.230235874653, 3, 16.174930035000216, 462, 120049,                                             120049, 17.370803833007812, 322.1935119628906
211, 1836.0649807155132, 1, 14.035053333000178, 408, 120457,                                             120457, 17.307558059692383, 323.6828918457031
212, -2466.209228336811, 1, 39.51136929299901, 1142, 121599,                                             121599, 17.663137435913086, 321.8370056152344
213, -607.388210773468, 1, 31.06935008599976, 905, 122504,                                             122504, 17.884632110595703, 322.7833557128906
214, -3373.085419535637, 2, 5.328979963000165, 153, 122657,                                             122657, 17.86305046081543, 324.02069091796875
215, 1755.5622626543045, 1, 15.213338847999694, 441, 123098,                                             123098, 17.459569931030273, 322.9923095703125
216, -2900.1470608711243, 2, 3.3081555039989325, 89, 123187,                                             123187, 18.897371292114258, 323.9757080078125
217, 1688.0547305941582, 1, 12.622240263999629, 364, 123551,                                             123551, 18.0747127532959, 325.35528564453125
218, -105.17582219839096, 1, 13.023112564000257, 381, 123932,                                             123932, 17.464744567871094, 320.7276916503906
219, 1554.0798448175192, 1, 23.232894452001347, 673, 124605,                                             124605, 17.757369995117188, 319.8992919921875
220, -4857.1727974414825, 2, 25.554683154001395, 758, 125363,                                             125363, 17.56586456298828, 319.3341979980469
221, 2072.661152422428, 1, 8.193379577000087, 236, 125599,                                             125599, 18.455583572387695, 317.1041564941406
222, 176.9329355508089, 1, 22.798173514000155, 659, 126258,                                             126258, 17.790170669555664, 319.68212890625
223, -7237.786410808563, 3, 21.817535185999077, 623, 126881,                                             126881, 18.009166717529297, 318.3263854980469
224, -3380.743704676628, 2, 13.584737462999328, 396, 127277,                                             127277, 17.90581512451172, 318.25140380859375
225, 1884.160044014454, 1, 12.021479151000676, 350, 127627,                                             127627, 18.55046272277832, 321.4068603515625
226, -4768.455415725708, 3, 20.526608104000843, 604, 128231,                                             128231, 18.251466751098633, 318.0502014160156
227, 1328.7752587795258, 1, 16.06678434999958, 468, 128699,                                             128699, 16.921857833862305, 316.51043701171875
228, 934.0441586077213, 1, 25.73389449000024, 750, 129449,                                             129449, 17.468748092651367, 317.1826171875
229, -197.1808624714613, 1, 19.37622104699949, 562, 130011,                                             130011, 17.659305572509766, 316.5931091308594
230, -4080.0887548923492, 2, 26.712053625000408, 780, 130791,                                             130791, 18.339855194091797, 316.37969970703125
231, -922.4232777357101, 1, 23.573302826000145, 684, 131475,                                             131475, 17.133825302124023, 315.6823425292969
232, -1797.8472231030464, 1, 37.51026601999911, 1085, 132560,                                             132560, 17.618127822875977, 313.46685791015625
233, -5894.779879748821, 3, 32.92233814199972, 958, 133518,                                             133518, 17.724342346191406, 314.4134826660156
234, 935.0422632098198, 1, 21.215106289999312, 612, 134130,                                             134130, 17.72837257385254, 314.70037841796875
235, -2866.727944254875, 1, 43.56588453800032, 1279, 135409,                                             135409, 17.700307846069336, 311.8641357421875
236, -811.9045100808144, 1, 38.136407261001295, 1114, 136523,                                             136523, 17.189620971679688, 314.14971923828125
237, 546.7353239059448, 1, 20.58810728499884, 598, 137121,                                             137121, 17.413219451904297, 312.1134948730469
238, -3593.32341375947, 1, 43.1636976610007, 1252, 138373,                                             138373, 17.38158416748047, 309.4134216308594
239, -3711.669087588787, 3, 20.431219891999717, 597, 138970,                                             138970, 16.77975082397461, 308.8535461425781
240, 617.4551077485085, 1, 17.99720593299935, 519, 139489,                                             139489, 17.53338050842285, 309.98370361328125
241, 719.3381791710854, 1, 23.67078883299837, 687, 140176,                                             140176, 16.901193618774414, 307.96942138671875
242, -2848.964005470276, 1, 43.49900925200018, 1261, 141437,                                             141437, 17.217744827270508, 306.0661926269531
243, 568.9436767399311, 1, 18.654368829000305, 541, 141978,                                             141978, 16.681503295898438, 306.0252380371094
244, -3357.2302468419075, 3, 10.544145817999379, 301, 142279,                                             142279, 17.264318466186523, 305.34674072265625
245, 1958.9995025396347, 1, 13.210571472000083, 379, 142658,                                             142658, 17.069021224975586, 305.43115234375
246, -3336.577362179756, 3, 10.350672677999682, 295, 142953,                                             142953, 16.45157241821289, 304.5218200683594
247, 2097.0026557147503, 1, 11.409038552999846, 337, 143290,                                             143290, 16.500783920288086, 304.61798095703125
248, 44.45274794101715, 1, 24.00708934999966, 698, 143988,                                             143988, 16.46510887145996, 303.76666259765625
249, -6294.554138720036, 3, 35.36129621100008, 1026, 145014,                                             145014, 16.844493865966797, 303.41070556640625
250, 1757.9523673951626, 1, 14.785546801000237, 420, 145434,                                             145434, 16.810365676879883, 305.7167663574219
251, -704.3781592547894, 1, 46.358785651998915, 1340, 146774,                                             146774, 16.825885772705078, 301.7530212402344
252, 1905.7177629470825, 1, 11.817838151000615, 342, 147116,                                             147116, 16.19356346130371, 303.963134765625
253, 2067.670224994421, 1, 11.342732038001486, 320, 147436,                                             147436, 17.09848403930664, 303.9476623535156
